threshold,false_cut_rate,mean_delay_s,p50_delay_s,n_turns
0.01,0.675,0.008,0.0,200
0.015,0.675,0.008,0.0,200
0.02,0.675,0.008,0.0,200
0.025,0.675,0.008,0.0,200
0.03,0.675,0.008,0.0,200
0.035,0.675,0.008,0.0,200
0.04,0.675,0.008,0.0,200
0.045,0.675,0.008,0.0,200
0.05,0.675,0.008,0.0,200
0.055,0.67,0.008,0.0,200
0.06,0.67,0.008,0.0,200
0.065,0.67,0.008,0.0,200
0.07,0.67,0.008,0.0,200
0.075,0.67,0.008,0.0,200
0.08,0.67,0.008,0.0,200
0.085,0.67,0.008,0.0,200
0.09,0.67,0.008,0.0,200
0.095,0.67,0.008,0.0,200
0.1,0.665,0.008,0.0,200
0.105,0.665,0.008,0.0,200
0.11,0.665,0.008,0.0,200
0.115,0.665,0.008,0.0,200
0.12,0.66,0.016,0.0,200
0.125,0.66,0.016,0.0,200
0.13,0.66,0.016,0.0,200
0.135,0.655,0.016,0.0,200
0.14,0.655,0.016,0.0,200
0.145,0.65,0.016,0.0,200
0.15,0.65,0.016,0.0,200
0.155,0.65,0.016,0.0,200
0.16,0.65,0.016,0.0,200
0.165,0.65,0.016,0.0,200
0.17,0.65,0.016,0.0,200
0.175,0.65,0.016,0.0,200
0.18,0.65,0.024000000000000004,0.0,200
0.185,0.645,0.024000000000000004,0.0,200
0.19,0.645,0.024000000000000004,0.0,200
0.195,0.64,0.024000000000000004,0.0,200
0.2,0.64,0.024000000000000004,0.0,200
0.205,0.64,0.032,0.0,200
0.21,0.64,0.032,0.0,200
0.215,0.64,0.032,0.0,200
0.22,0.635,0.032,0.0,200
0.225,0.635,0.032,0.0,200
0.23,0.635,0.032,0.0,200
0.235,0.63,0.032,0.0,200
0.24,0.63,0.032,0.0,200
0.245,0.63,0.032,0.0,200
0.25,0.63,0.032,0.0,200
0.255,0.63,0.032,0.0,200
0.26,0.63,0.032,0.0,200
0.265,0.63,0.04,0.0,200
0.27,0.63,0.04,0.0,200
0.275,0.625,0.04800000000000001,0.0,200
0.28,0.625,0.04800000000000001,0.0,200
0.285,0.625,0.05600000000000001,0.0,200
0.29,0.62,0.05600000000000001,0.0,200
0.295,0.62,0.05600000000000001,0.0,200
0.3,0.62,0.05600000000000001,0.0,200
0.305,0.62,0.05600000000000001,0.0,200
0.31,0.615,0.07200000000000001,0.0,200
0.315,0.615,0.07200000000000001,0.0,200
0.32,0.615,0.07200000000000001,0.0,200
0.325,0.615,0.08,0.0,200
0.33,0.615,0.08,0.0,200
0.335,0.615,0.08,0.0,200
0.34,0.615,0.08,0.0,200
0.345,0.615,0.08800000000000001,0.0,200
0.35,0.61,0.08800000000000001,0.0,200
0.355,0.61,0.096,0.0,200
0.36,0.61,0.10400000000000001,0.0,200
0.365,0.61,0.11199999999999999,0.0,200
0.37,0.605,0.11199999999999999,0.0,200
0.375,0.59,0.11199999999999999,0.0,200
0.38,0.59,0.12,0.0,200
0.385,0.59,0.12,0.0,200
0.39,0.57,0.128,0.0,200
0.395,0.57,0.136,0.0,200
0.4,0.565,0.136,0.0,200
0.405,0.56,0.15200000000000002,0.0,200
0.41,0.555,0.168,0.0,200
0.415,0.55,0.17600000000000002,0.0,200
0.42,0.54,0.184,0.0,200
0.425,0.52,0.20800000000000005,0.0,200
0.43,0.515,0.21600000000000003,0.0,200
0.435,0.515,0.21600000000000003,0.0,200
0.44,0.51,0.21600000000000003,0.0,200
0.445,0.495,0.21600000000000003,0.0,200
0.45,0.475,0.21600000000000003,0.0,200
0.455,0.475,0.23200000000000004,0.0,200
0.46,0.465,0.24,0.0,200
0.465,0.465,0.256,0.0,200
0.47,0.455,0.28800000000000003,0.0,200
